REGION,LOCATION_NAME,LATITUDE,LONGITUDE,WIND SPEED,WIND DIRECTION,POW
Gujarat,Sant,23.2,73.87,10.43695652173913,123.64492753623189,2562.1277962285067
Gujarat,Somnath,20.88,70.37,14.294927536231885,195.5144927536232,3553.4944722826576
Gujarat,Surat,20.97,72.9,11.695652173913043,115.4927536231884,2966.639374063606
Gujarat,Surendranagar,22.7,71.68,13.46231884057971,199.2391304347826,3545.890033501797
Gujarat,Una,20.82,71.03,12.507971014492753,212.47101449275362,3519.2012953044905
Gujarat,Vadodara,22.3,73.2,10.426086956521738,127.45652173913044,2567.1046063743834
Gujarat,Valsad,20.63,72.93,9.548550724637682,114.21014492753623,2164.328671682358
Haryana,Ambala,30.379999999999995,76.78,7.023188405797102,176.97826086956522,916.9160143766641
Haryana,Bhiwani,28.78,76.13,7.908695652173914,179.1231884057971,1329.1018746010845
Haryana,Faridabad,28.43,77.32,5.3304347826086955,110.1086956521739,452.3422125997469
Haryana,Fatehabad,29.52,75.45,7.709420289855073,141.29710144927537,1226.6045660284346
Haryana,Gorakhpur,29.45,75.68,7.674637681159419,151.57971014492753,1222.1538199819447
Haryana,Gurgaon,28.47,77.03,5.366666666666667,109.47826086956522,456.17427602862693
Haryana,Hisar,29.17,75.72,8.36231884057971,157.29710144927537,1584.006660229326
Haryana,Jhajjar,28.62,76.65,5.358695652173913,104.10144927536231,456.13071062732155
Haryana,Jind,29.32,76.32,7.159420289855072,179.07246376811594,950.2872345313689
Haryana,Kaithal,29.800000000000004,76.38,6.926086956521739,175.6304347826087,885.2776032258107
Haryana,Karnal,29.68,76.98,6.943478260869566,185.2826086956522,886.6303336144852
Haryana,Mahendragarh,28.28,76.15,6.392028985507246,207.36231884057972,664.6178770413098
Haryana,Palwal,28.15,77.33,5.367391304347826,112.6231884057971,449.0662154909652
Haryana,Panipat,29.39,76.97,6.939855072463769,185.47101449275362,886.6303336144852
Haryana,Rewari,28.18,76.62,6.668840579710144,215.6014492753623,775.4443645675315
Haryana,Rohtak,28.9,76.57,6.972463768115943,182.7608695652174,890.7066898825022
Haryana,Sirsa,29.53,75.02,8.17463768115942,126.92753623188406,1442.3339326410312
Haryana,Sonipat,28.98,77.02,5.393478260869565,104.89855072463769,459.52277075584146
Haryana,Surajpur,30.78,76.9,6.380434782608695,69.40579710144928,646.8505816322246
Haryana,Yamunanagar,30.1,77.28,6.1347826086956525,142.64492753623188,602.6631355059177
Himachal Pradesh,Chamba,32.57,76.13,11.968115942028986,60.72463768115942,3281.099469126171
Himachal Pradesh,Kangra,32.1,76.27,8.328260869565216,50.905797101449274,1563.8661545490697
Himachal Pradesh,Mandi,31.72,76.92,8.326811594202898,78.48550724637681,1518.0355042013032
Himachal Pradesh,Shimla,31.1,77.17,8.389855072463767,73.53623188405797,1561.3195110090942
Himachal Pradesh,Solan,30.92,77.12,8.394927536231885,73.51449275362319,1564.918618347333
Jammu and Kashmir,Anantnag,33.73,75.15,3.8678832116788318,114.28467153284672,107.97797962494232
Jammu and Kashmir,Badgam,34.02,74.72,3.6197080291970805,79.97810218978103,54.269640917001425
Jammu and Kashmir,Baramula,34.21,74.34,4.83768115942029,298.1376811594203,223.2063349608958
Jammu and Kashmir,Doda,33.13,75.57,9.780434782608696,56.405797101449274,2243.919690979014
Jammu and Kashmir,Ganderbal,34.23,74.78,3.621739130434783,83.71014492753623,53.81786940507736
Jammu and Kashmir,Jammu,32.73,74.87,5.957246376811594,40.210144927536234,520.0433956506768
Jammu and Kashmir,Kargil,34.57,76.1,6.013768115942029,259.1811594202899,537.1798611717022
Jammu and Kashmir,Kathua,32.37,75.52,6.310869565217391,62.82608695652174,627.0425147199418
Jammu and Kashmir,Kishtwar,33.32,75.77,6.6347826086956525,58.594202898550726,761.4466739789913
Jammu and Kashmir,Kulgam,33.65,75.02,3.8659420289855073,114.22463768115942,107.97797962494232
Jammu and Kashmir,Kupwara,34.03,74.26,7.754347826086956,76.23188405797102,1207.19418651057
Jammu and Kashmir,Leh,34.17,77.58,5.701449275362319,216.67391304347825,469.12174200297596
Jammu and Kashmir,Pulwama,33.88,74.92,3.651449275362319,74.51449275362319,45.92157700269649
Jammu and Kashmir,Ramban,33.25,75.25,10.697826086956521,41.21739130434783,2674.1636703987133
Jammu and Kashmir,Samba,32.57,75.12,5.780434782608696,41.14492753623188,476.80716679716375
Jammu and Kashmir,Sheikhpura,34.33,74.23,5.071014492753623,315.7536231884058,281.0996433933457
Jammu and Kashmir,Shupiyan,33.72,74.83,3.8659420289855073,114.22463768115942,107.97797962494232
Jammu and Kashmir,Srinagar,34.09,74.8,3.621739130434783,83.71014492753623,53.81786940507736
Jammu and Kashmir,Talab Data,32.65,74.93,5.914179104477612,40.82089552238806,515.273604649508
Jammu and Kashmir,Udhampur,32.93,75.13,7.689855072463769,43.72463768115942,1257.082767502502
Jharkhand,Bokaro,23.78,85.97,6.6347826086956525,262.1376811594203,797.4659635209696
Jharkhand,Chatra,24.22,84.87,4.918840579710144,83.52898550724638,372.47713345266675
Jharkhand,Deoghar,24.48,86.7,7.551449275362319,236.08695652173913,1176.5288799409964
Jharkhand,Dhanbad,23.8,86.45,6.61376811594203,241.65217391304347,759.9623191955902
Jharkhand,Dumka,24.27,87.25,6.723913043478261,243.3840579710145,794.827799722386
Jharkhand,Giridih,24.18,86.3,7.789130434782609,235.86231884057972,1287.4736308072636
Jharkhand,Godda,24.83,87.22,5.852898550724638,211.36231884057972,500.97364457603993
Jharkhand,Hazaribagh,23.98,85.35,5.673188405797101,214.7536231884058,455.1091542439459
Jharkhand,Jamtara,23.95,86.8,7.989855072463768,235.70289855072463,1389.7156459026417
Jharkhand,Khunti,23.08,85.28,5.471014492753623,109.52898550724638,462.93086008974757
Jharkhand,Kodarma,24.43,85.52,5.8905797101449275,206.91304347826087,495.99049825303905
Jharkhand,Latehar,23.75,84.5,5.5028985507246375,207.6231884057971,409.26611762336455
Jharkhand,Lohardaga,23.43,84.68,5.571014492753623,250.2246376811594,414.5138476914841
Jharkhand,Ramgarh,23.63,85.52,5.460869565217392,109.43478260869566,463.6484776838633
Jharkhand,Ranchi,23.35,85.33,5.434057971014493,109.16666666666667,465.28519221233626
Jharkhand,Sahibganj,25.25,87.65,6.731884057971015,204.69565217391303,780.9642212037636
Jharkhand,Saraikela,22.72,85.95,4.370289855072464,228.04347826086956,163.18361491602624
Jharkhand,Simdega,22.62,84.52,5.607246376811593,118.42028985507247,422.31694093780004
Karnataka,Bagalkot,16.18,75.7,14.263043478260869,150.81159420289856,3559.512300389574
Karnataka,Bangalore,12.98,77.58,11.15359477124183,143.15686274509804,2904.246207040907
Karnataka,Belgaum,15.87,74.5,8.119565217391305,161.94202898550725,1423.6265847133714
Karnataka,Bellary,15.150000000000002,76.93,12.827536231884059,163.94927536231884,3520.320590076041
Karnataka,Bidar,17.9,77.55,10.531884057971014,150.1304347826087,2673.3864929322135
Karnataka,Bijapur,16.83,75.7,15.875362318840581,144.52173913043478,3563.8825443302303
Karnataka,Chikmagalur,13.32,75.78,6.380434782608695,154.34782608695653,657.8733182925897
Karnataka,Chitradurga,14.23,76.4,14.834782608695653,159.36231884057972,3564.555127862961
Karnataka,Dharwad,15.47,75.02,12.107246376811593,153.0,3203.5730451049203
